"Symbol","InstrType","Comment","PriceIn","BaseFileName","LotSize","Ask","Bid","Slippage","Spread","SwapLong","SwapShort","Commission","RateToUSD","RateToEUR","RateToGBP","RateToJPY","SwapType","CommissionType","CommissionScope","CommissionTime","Digits","Point","Pip","IsFiveDigits","StopLevel","TickValue","MinLot","MaxLot","LotStep","MarginRequired","RSI_14_1D","RSI_14_30m","PrvsDyCls","minClose","5minClose","15minClose","RSI_14_4Hr","ATR14_D","Preious2MinClose","Preious3MinClose","Preious4MinClose","vwma"
GBPCHF.,1,"Currencies~!Minor~!Great Britain Pound vs Swiss Franc",CHF,GBPCHF.,100000,1.19025000,1.19025000,0,0.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,19.139854,26.502142,1.203180,1.189310,1.191810,1.191810,25.722903,0.013794,1.190260,1.190410,1.191810,0.000000,,
GBPJPY.,1,"Currencies~!Minor~!Great Britain Pound vs Japanese Yen",JPY,GBPJPY.,100000,131.84600000,131.83700000,0,9.00,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0,0,0,1,3,0.001,0.000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,25.102085,32.682506,133.821000,131.875000,131.804000,131.804000,28.272703,2.123071,131.846000,131.858000,131.804000,0.000000,,
NZDCAD.,1,"Currencies~!Australian~!New Zealand Dollar vs Canadian Dollar",CAD,NZDCAD.,100000,0.85564000,0.85562000,0,2.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,53.224707,0.000000,0.864050,0.855750,0.855940,0.855940,29.919182,0.011593,0.856750,0.856250,0.855940,0.000000,,
NZDCHF.,1,"Currencies~!Australian~!New Zealand Dollar vs Swiss Franc",CHF,NZDCHF.,100000,0.58097000,0.58073000,0,24.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,18.659189,30.942692,0.588770,0.580490,0.582580,0.582580,31.017915,0.009664,0.581660,0.581530,0.582580,0.000000,,
NZDJPY.,1,"Currencies~!Australian~!New Zealand Dollar vs Japanese Yen",JPY,NZDJPY.,100000,64.33100000,64.33100000,0,0.00,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0,0,0,1,3,0.001,0.000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,25.974713,31.523596,65.484000,64.370000,64.430000,64.430000,29.681723,1.407643,64.436000,64.403000,64.430000,0.000000,,
USDHKD.,1,"Currencies~!Minor~!US Dollar vs Hong Kong Dollar",HKD,USDHKD.,100000,7.78175000,7.78050000,0,125.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,55.624397,82.953770,7.767340,7.780500,7.780510,7.780510,81.463833,0.009514,7.780310,7.780510,7.780510,0.000000,,
USDSGD.,1,"Currencies~!Minor~!US Dollar vs Singaporean Dollar",SGD,USDSGD.,100000,1.40497000,1.40467000,0,30.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,69.839475,75.160721,1.393700,1.404700,1.405770,1.405770,80.970873,0.007050,1.405290,1.404770,1.405770,0.000000,,
AUDNZD.,1,"Currencies~!Australian~!Australian Dollar vs New Zealand Dollar",NZD,AUDNZD.,100000,1.02837000,1.02784000,0,53.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,32.212161,36.933166,1.034210,1.027600,1.027710,1.027710,27.499620,0.007316,1.027650,1.027790,1.027710,0.000000,,
EURBRL.,1,"Currencies~!Exotic~!Euro vs Brazilian Real",BRL,EURBRL.,100000,5.41609000,5.41371000,0,238.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,75.431498,74.375697,5.357610,5.357610,5.357610,5.357610,66.410522,0.096554,5.348010,5.350610,5.346410,0.000000,,
EURDKK.,1,"Currencies~!Scandinavians~!Euro vs Danish Krone",DKK,EURDKK.,100000,7.47328000,7.47225000,0,103.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,53.771997,57.614251,7.471570,7.472240,7.472330,7.472330,55.753091,0.004134,7.472150,7.472150,7.472330,0.000000,,
EURNZD.,1,"Currencies~!Australian~!Euro vs New Zealand Dollar",NZD,EURNZD.,100000,1.81958000,1.81956000,0,2.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,76.609890,70.958547,1.794180,1.820110,1.809750,1.809750,68.703392,0.027978,1.816810,1.818110,1.809750,0.000000,,
EURTRY.,1,"Currencies~!Exotic~!Euro vs Turkish Lira",TRY,EURTRY.,100000,7.05669000,7.05216000,0,453.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,74.046237,61.935856,6.995950,7.058760,7.014350,7.014350,61.192870,0.106531,7.044750,7.045920,7.014350,0.000000,,
GBPAUD.,1,"Currencies~!Australian~!Great Britain Pound vs Australian Dolla",AUD,GBPAUD.,100000,1.99337000,1.99330000,0,7.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,65.165480,66.564317,1.974130,1.992700,1.988500,1.988500,64.292453,0.028398,1.990000,1.990630,1.988500,0.000000,,
GBPCAD.,1,"Currencies~!Minor~!Great Britain Pound vs Canadian Dollar",CAD,GBPCAD.,100000,1.75403000,1.75311000,0,92.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,56.025011,31.868665,1.765170,1.753380,1.750910,1.750910,33.295326,0.021512,1.752880,1.752610,1.750910,0.000000,,
GBPNZD.,1,"Currencies~!Australian~!Great Britan Pound vs New Zealand Dolla",NZD,GBPNZD.,100000,2.04952000,2.04937000,0,15.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,55.160097,56.198316,2.042120,2.048200,2.043850,2.043850,52.939565,0.029451,2.045820,2.046660,2.043850,0.000000,,
NZDAUD.,1,"Currencies~!Australian~!Australian Dollar vs New Zealand Dollar",AUD,NZDAUD.,100000,0.97294000,0.97225000,0,69.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,68.528324,0.000000,0.966110,0.972320,0.971860,0.971860,71.152070,0.007204,0.972110,0.971980,0.971860,0.000000,,
USDBRL.,1,"Currencies~!Exotic~!US Dollar vs Brazilian Real",BRL,USDBRL.,100000,4.93440000,4.93440000,0,0.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,81.510813,89.790966,4.754010,4.929710,4.928110,4.928110,83.171847,0.083157,4.928110,4.927910,4.964310,0.000000,,
USDCNH.,1,"Currencies~!Minor~!US Dollar vs Offshore RMB (CNH)",CNH,USDCNH.,100000,7.02759000,7.02534000,0,225.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,61.783307,81.501363,6.960320,7.026270,7.025170,7.025170,85.638576,0.038961,7.024290,7.023410,7.025170,0.000000,,
USDDKK.,1,"Currencies~!Scandinavians~!US Dollar vs Danish Krone",DKK,USDDKK.,100000,6.63526000,6.63414000,0,112.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,38.894944,0.000000,6.633850,6.626460,6.664550,6.664550,56.290026,0.069699,6.638250,6.635500,6.664550,0.000000,,
USDTRY.,1,"Currencies~!Exotic~!US Dollar vs Turkish Lira",TRY,USDTRY.,100000,6.25958000,6.25706000,0,252.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,72.235669,0.000000,6.209480,6.256080,6.255430,6.255430,79.977398,0.075289,6.255000,6.252900,6.255430,0.000000,,
EURCZK.,1,"Currencies~!Exotic~!Euro vs Czech Koruna",CZK,EURCZK.,100000,26.17260000,26.14250000,0,301.00,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0,0,0,1,4,0.0001,0.0000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,80.754882,80.970003,25.746600,26.142500,26.112100,26.112100,89.587719,0.221964,26.132900,26.136400,26.112100,0.000000,,
EURHUF.,1,"Currencies~!Exotic~!Euro vs Hungarian Florint",HUF,EURHUF.,100000,338.34400000,338.08000000,0,264.00,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0,0,0,1,3,0.001,0.000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,57.121861,64.083488,336.021000,338.145000,337.729000,337.729000,65.987984,2.466143,338.083000,338.095000,337.729000,0.000000,,
EURILS.,1,"Currencies~!Exotic~!Euro vs Israeli Shekel",ILS,EURILS.,100000,4.10341000,4.09096000,0,1245.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,77.348221,67.370654,4.011070,4.095770,4.069670,4.069670,70.494391,0.066551,4.087400,4.086600,4.069670,0.000000,,
EURNOK.,1,"Currencies~!Scandinavians~!Euro vs Norweigen Krone",NOK,EURNOK.,100000,11.36328000,11.35521000,0,807.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,84.494951,0.000000,10.912810,11.353610,11.321160,11.321160,81.750620,0.174056,11.322390,11.298550,11.321160,0.000000,,
EURPLN.,1,"Currencies~!Exotic~!Euro vs Polish Zlotty",PLN,EURPLN.,100000,4.35792000,4.35663000,0,129.00,0.000000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,5,0.00001,0.00000,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,69.581757,78.051580,4.320870,4.355280,4.352550,4.352550,80.242711,0.025655,4.354200,4.353670,4.352550,0.000000,,
